Longitude (deg),Latitude (deg),"Rainfall class (0: < 0.5, 1: [0.5 4), 2: [4,8), 3: >= 8 (mm/day)"
342.5,2.356020942408378,1.0
287.5,59.84293193717278,1.0
121.25,32.5130890052356,2.0
267.5,-13.66492146596859,0.0
191.25,-3.298429319371735,1.0
277.5,24.9738219895288,1.0
56.25,45.70680628272251,0.0
246.25,-42.87958115183246,2.0
122.5,38.16753926701571,2.0
206.25,30.6282722513089,1.0
151.25,-13.66492146596859,1.0
276.25,8.952879581151834,3.0
133.75,18.376963350785346,3.0
80.0,-59.84293193717278,1.0
336.25,-1.4136125654450211,1.0
65.0,50.41884816753927,1.0
295.0,5.1832460732984345,3.0
166.25,-48.53403141361257,1.0
338.75,-41.93717277486911,2.0
11.25,-2.356020942408378,1.0
78.75,7.068062827225134,3.0
136.25,-42.87958115183246,1.0
96.25,1.4136125654450211,2.0
337.5,-57.95811518324607,1.0
86.25,-30.6282722513089,1.0
312.5,18.376963350785346,1.0
47.5,28.7434554973822,0.0
283.75,-37.225130890052355,1.0
142.5,-56.07329842931937,1.0
208.75,15.54973821989529,1.0
71.25,21.204188481675388,1.0
268.75,-23.0890052356021,0.0
143.75,-22.146596858638745,1.0
332.5,-8.952879581151834,1.0
181.25,-5.1832460732984345,2.0
312.5,-41.93717277486911,1.0
256.25,3.2984293193717207,1.0
208.75,-11.78010471204189,1.0
172.5,13.66492146596859,2.0
288.75,-40.05235602094241,2.0
196.25,-40.05235602094241,1.0
92.5,-45.70680628272251,2.0
271.25,-36.282722513089006,1.0
52.5,40.994764397905755,0.0
266.25,-39.109947643979055,2.0
221.25,-35.340314136125656,2.0
37.5,45.70680628272251,0.0
65.0,22.146596858638745,1.0
352.5,-34.397905759162306,1.0
240.0,-46.64921465968587,1.0
100.0,-52.303664921465966,2.0
135.0,10.837696335078533,3.0
16.25,24.031413612565444,0.0
101.25,-39.109947643979055,1.0
140.0,-44.76439790575916,1.0
138.75,-38.167539267015705,1.0
11.25,-25.916230366492144,0.0
123.75,6.125654450261777,3.0
302.5,21.204188481675388,1.0
132.5,19.31937172774869,3.0
152.5,24.9738219895288,2.0
41.25,-57.01570680628272,2.0
167.5,37.225130890052355,1.0
176.25,10.837696335078533,2.0
246.25,-29.68586387434555,2.0
302.5,-5.1832460732984345,0.0
307.5,-14.607329842931932,0.0
273.75,53.24607329842931,1.0
211.25,35.340314136125656,1.0
355.0,-40.05235602094241,1.0
268.75,24.031413612565444,1.0
38.75,-40.99476439790576,1.0
335.0,49.47643979057591,1.0
280.0,50.41884816753927,1.0
318.75,28.7434554973822,1.0
60.0,-55.13089005235602,2.0
141.25,15.54973821989529,3.0
175.0,47.591623036649224,2.0
28.75,-33.455497382198956,1.0
193.75,16.492146596858632,1.0
230.0,-4.240837696335078,1.0
191.25,-42.87958115183246,1.0
61.25,-17.43455497382199,1.0
148.75,-17.43455497382199,1.0
100.0,32.5130890052356,3.0
351.25,-22.146596858638745,1.0
92.5,50.41884816753927,1.0
178.75,34.3979057591623,1.0
232.5,-26.8586387434555,2.0
298.75,8.952879581151834,1.0
348.75,8.010471204188477,3.0
57.5,31.570680628272257,0.0
190.0,-12.722513089005233,1.0
243.75,37.225130890052355,0.0
165.0,-35.340314136125656,1.0
91.25,-26.8586387434555,1.0
132.5,-14.607329842931932,0.0
300.0,29.685863874345543,1.0
201.25,40.0523560209424,1.0
182.5,31.570680628272257,1.0
196.25,-17.43455497382199,1.0
53.75,-4.240837696335078,1.0
13.75,-26.8586387434555,0.0
118.75,-24.9738219895288,0.0
120.0,46.64921465968587,1.0
216.25,-21.204188481675388,1.0
116.25,51.36125654450262,1.0
10.0,-47.59162303664922,2.0
252.5,-40.05235602094241,2.0
251.25,1.4136125654450211,0.0
37.5,-15.54973821989529,1.0
152.5,-20.261780104712045,1.0
65.0,38.16753926701571,0.0
72.5,58.90052356020942,1.0
323.75,-52.303664921465966,1.0
261.25,-42.87958115183246,2.0
193.75,33.455497382198956,1.0
187.5,-13.66492146596859,1.0
318.75,-3.298429319371735,0.0
350.0,-58.90052356020942,1.0
23.75,-33.455497382198956,1.0
215.0,-15.54973821989529,1.0
97.5,-21.204188481675388,1.0
196.25,-2.356020942408378,1.0
352.5,-57.95811518324607,1.0
16.25,6.125654450261777,3.0
195.0,-48.53403141361257,1.0
257.5,45.70680628272251,1.0
301.25,49.47643979057591,1.0
130.0,53.24607329842931,2.0
168.75,38.16753926701571,1.0
326.25,34.3979057591623,1.0
333.75,6.125654450261777,3.0
173.75,26.8586387434555,1.0
223.75,-15.54973821989529,1.0
172.5,-59.84293193717278,1.0
47.5,46.64921465968587,1.0
55.0,-51.361256544502616,2.0
30.0,-5.1832460732984345,0.0
163.75,-40.99476439790576,1.0
68.75,-17.43455497382199,1.0
296.25,-24.9738219895288,0.0
132.5,-15.54973821989529,0.0
343.75,31.570680628272257,0.0
